name,v_nom,x,y,country,control,generator
AZ0 0,230.0,-109.82313953488371,35.22056279069768,AZ,Slack,AZ0 0 coal
AZ0 1,230.0,-112.17361764705883,34.79729117647059,AZ,PQ,
AZ0 2,230.0,-110.72576470588236,32.2459294117647,AZ,PQ,
AZ0 3,230.0,-111.547,36.58977142857143,AZ,PQ,
AZ0 4,230.0,-112.06097358490565,33.432966037735845,AZ,PQ,
AZ0 5,230.0,-114.2126842105263,34.41373947368421,AZ,PQ,
CA_10 0,230.0,-124.06410000000001,40.62075000000001,CA_1,PQ,
CA_100 0,230.0,-117.01721153846152,32.99246923076923,CA_10,PQ,
CA_100 1,230.0,-117.36757599999999,33.932680000000005,CA_10,PQ,
CA_110 0,230.0,-121.7436470588235,39.58193529411765,CA_11,PQ,
CA_120 0,230.0,-120.80009836065577,37.58163770491802,CA_12,PQ,
CA_120 1,230.0,-121.33692708333335,38.53958229166667,CA_12,PQ,
CA_120 2,230.0,-121.84400000000001,37.989401709401704,CA_12,PQ,
CA_130 0,230.0,-119.52623239436619,36.13747676056337,CA_13,PQ,
CA_140 0,230.0,-117.46292105263161,34.689310526315786,CA_14,PQ,
CA_150 0,230.0,-115.89835714285717,33.392142857142865,CA_15,PQ,
CA_160 0,230.0,-118.78390909090909,34.634009090909096,CA_16,PQ,
CA_160 1,230.0,-120.52094736842106,38.95474736842105,CA_16,PQ,
CA_160 10,230.0,-118.32382608695653,35.343960869565215,CA_16,PQ,
CA_160 11,230.0,-120.3672,40.205079999999995,CA_16,PQ,
CA_160 12,230.0,-116.6845,33.9188,CA_16,PQ,
CA_160 13,230.0,-118.28046666666667,34.32824666666667,CA_16,PQ,
CA_160 2,230.0,-119.357,37.21254444444445,CA_16,PQ,
CA_160 3,230.0,-121.51714285714287,41.13842857142857,CA_16,PQ,
CA_160 4,230.0,-117.88821428571428,34.22461428571428,CA_16,PQ,
CA_160 5,230.0,-121.19707692307692,39.930246153846156,CA_16,PQ,
CA_160 6,230.0,-117.37619999999998,34.23936,CA_16,PQ,
CA_160 7,230.0,-118.78355555555555,37.267500000000005,CA_16,PQ,
CA_160 8,230.0,-122.67711111111112,41.293933333333335,CA_16,PQ,
CA_160 9,230.0,-120.04325000000001,38.12972499999999,CA_16,PQ,
CA_20 0,230.0,-122.74746666666667,38.61619166666666,CA_2,PQ,
CA_30 0,230.0,-122.1743776223776,37.54443356643356,CA_3,PQ,
CA_40 0,230.0,-121.72367889908256,37.074987155963306,CA_4,PQ,
CA_50 0,230.0,-120.41396153846154,34.92924615384615,CA_5,PQ,
CA_60 0,230.0,-118.17987000000001,33.786975999999996,CA_6,PQ,
CA_60 1,230.0,-119.18861290322582,34.22400967741935,CA_6,PQ,
CA_70 0,230.0,-117.17951250000002,32.87202125,CA_7,PQ,
CA_80 0,230.0,-118.23191358024694,33.93618765432099,CA_8,PQ,
CA_80 1,230.0,-117.83146341463413,33.77701585365853,CA_8,PQ,
CA_90 0,230.0,-118.68182352941174,34.29083333333333,CA_9,PQ,
CA_90 1,230.0,-117.98158974358972,34.0518282051282,CA_9,PQ,
CA_90 2,230.0,-118.32327586206898,34.13657931034483,CA_9,PQ,
CO0 0,230.0,-107.87112962962962,38.516046296296295,CO,PQ,
CO0 1,230.0,-104.8160970464135,39.947874261603374,CO,PQ,
CO0 2,230.0,-104.44762135922329,38.56529611650485,CO,PQ,
CO0 3,230.0,-106.35264705882352,39.6936,CO,PQ,
ID0 0,230.0,-116.62135483870966,47.46007096774194,ID,PQ,
ID0 1,230.0,-115.70227499999999,43.412653750000004,ID,PQ,
ID0 2,230.0,-112.26087234042552,43.05129361702129,ID,PQ,
MT0 0,230.0,-111.54987681159419,46.870452898550724,MT,PQ,
NM0 0,230.0,-106.89756962025315,34.56603987341772,NM,PQ,
NV0 0,230.0,-115.12615267175573,36.181423664122136,NV,PQ,
NV0 1,230.0,-119.46681249999999,39.4706609375,NV,PQ,
NV0 2,230.0,-115.97631578947369,40.41355789473684,NV,PQ,
OR0 0,230.0,-122.85400000000001,45.32576011904762,OR,PQ,
OR0 1,230.0,-117.8578260869565,44.910008695652174,OR,PQ,
OR0 2,230.0,-122.9421818181818,43.136951136363635,OR,PQ,
OR0 3,230.0,-120.49666666666668,45.21758095238095,OR,PQ,
TX0 0,230.0,-106.3010930232558,31.75100465116279,TX,PQ,
US0 0,230.0,-121.59064170149254,41.187135985074626,US,PQ,
UT0 0,230.0,-111.99891469194313,40.15161943127962,UT,PQ,
UT0 1,230.0,-109.801,39.56909,UT,PQ,
WA0 0,230.0,-118.58012195121951,46.36810243902439,WA,PQ,
WA0 1,230.0,-122.13614285714286,48.39546938775511,WA,PQ,
WA0 2,230.0,-119.56185714285712,47.99062857142857,WA,PQ,
WA0 3,230.0,-122.60613207547168,46.03254716981131,WA,PQ,
WA0 4,230.0,-120.35233999999998,46.62407800000001,WA,PQ,
WA0 5,230.0,-117.44708163265307,47.82032040816327,WA,PQ,
WA0 6,230.0,-122.39458974358975,47.45257538461538,WA,PQ,
WY0 0,230.0,-107.16310465116275,42.80679302325582,WY,PQ,
