name,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel
137,CA_80 0,CA_90 1,0.10917257229641794,0.8053855543942068,2.98517578544385e-05,4779.982182867212,1.0,33.02279068120405,11.879999999999999
138,CA_80 0,CA_90 2,0.06986006249200541,0.5629172084605667,3.213796171595983e-05,5540.433893777905,1.0,29.77478148751721,13.769999999999998
139,CA_80 1,CA_90 1,0.20103870523434667,1.4131739331358015,2.6799639801242553e-05,3874.6825270211493,1.0,41.93909518732149,9.629999999999999
140,CA_90 0,CA_90 2,0.1476150550103299,1.1595554408776023,4.265085658002859e-05,5069.678072737952,1.0000000000000002,46.45510202503333,12.600000000000001
141,CA_90 0,US0 0,54.99704849169915,291.37892912328044,5.398090995846845e-05,144.84794493537007,1.0,1010.2852996905818,0.36
142,CA_90 1,CA_90 2,0.13061828857704869,1.1802100063528211,3.0155454941042543e-05,5685.281838713275,1.0,41.05534690355682,14.129999999999997
143,CO0 0,CO0 2,7.482173049941671,34.67901389270986,6.0318627454435496e-05,301.7665519486876,1.0,372.23196529960325,0.75
144,CO0 0,CO0 3,1.259276966427201,8.018877560923324,0.00010795280365650771,3114.393664380599,1.0,231.5369739479985,7.225897920604915
145,CO0 0,NM0 0,2.5581806936479214,16.924243696186405,0.0002977800304111327,3175.5348137310366,0.9999999999999999,559.675559422226,7.975897920604915
146,CO0 0,UT0 1,7.2432020119729135,37.42212575457599,2.7547990769717688e-05,494.89714519584766,1.0,254.60112440944607,1.23
147,CO0 1,CO0 2,0.5319473872969006,3.264094871259815,0.0001943312398894039,5050.040216329287,0.9999999999999999,196.2183250227793,10.975897920604915
148,CO0 1,CO0 3,0.7241742047951171,4.440830646197892,0.00010745604944430475,3400.085963081474,1.0,167.79523372218875,7.725897920604915
149,CO0 1,WY0 0,1.8365712387697302,14.126554124173506,0.00024049772480129765,4391.201409357616,1.0000000000000002,466.66827974904913,10.219999999999999
150,CO0 2,CO0 3,2.151658511752645,19.269100046619446,5.631016993775046e-05,2604.188261782349,0.9999999999999999,258.4155245980995,6.225897920604915
151,CO0 2,NM0 0,7.681515289141498,53.31451013898296,0.00012395520644209603,2203.2571124319115,1.0,619.4449899675426,5.475897920604915
152,ID0 0,ID0 1,35.30535729208515,191.49883995910074,2.6135550505521095e-05,144.84794493537007,1.0,569.6501134746838,0.36
153,ID0 0,MT0 0,1.768287990576975,12.014722908629066,0.00031135951534107573,3259.0787610458265,1.0,486.11815685010254,8.1
154,ID0 0,OR0 1,11.941621768386533,70.67552442753993,2.8048990210697346e-05,289.69588987074013,1.0,373.8672577501526,0.72
155,ID0 0,WA0 0,2.5655465625932505,18.25555932061805,4.7428647079023645e-05,1339.8434906521732,1.0,240.0355089954874,3.3299999999999996
156,ID0 0,WA0 5,0.22430710859307268,1.5119684823404662,9.236141394513371e-05,4598.922251698,1.0,92.12567443081541,11.43
157,ID0 1,ID0 2,2.2565177195522415,14.405097178891275,0.00013535600038532122,1629.5393805229132,1.0,352.08139048607586,4.05
158,ID0 1,MT0 0,11.99650794886094,79.222748970984,7.463455767073029e-05,434.5438348061102,1.0,629.6673588561531,1.08
159,ID0 1,NV0 2,3.9243151378773953,28.096938100925644,9.302607352944902e-05,1484.6914355875435,0.9999999999999998,417.81712960623764,3.6899999999999995
160,ID0 1,OR0 1,0.9808955659199358,7.524940016127002,0.00018557771783649595,3874.6825270211493,1.0,299.16318137635966,9.629999999999999
161,ID0 1,UT0 0,9.78514575667174,112.98242754196914,5.434800724886154e-05,905.2996558460629,1.0,593.817838108753,2.25
162,ID0 2,MT0 0,39.212458388868484,235.22538949692847,2.4203082004210106e-05,144.84794493537007,1.0,535.4180109123007,0.36
163,ID0 2,UT0 0,4.779448080013418,36.932201285382995,7.140165534854766e-05,1392.1496929899456,1.0,403.95427575573945,3.4599999999999995
164,ID0 2,WY0 0,4.33150241039747,26.011526436835997,0.00017903406979581752,724.2397246768503,1.0,519.8353257025854,1.7999999999999998
165,MT0 0,WA0 5,16.578175847896368,112.27260628454941,5.4459033588208625e-05,144.84794493537007,1.0,570.7120641571682,0.36
166,MT0 0,WY0 0,4.286350333035001,30.01796745810471,0.00025299012731657414,2534.839036368976,1.0000000000000002,711.057843518131,6.3
167,NM0 0,TX0 0,1.1123664695840898,6.336659344321942,0.00043667261698437785,4393.920216329286,1.0000000000000002,397.377382436057,9.975897920604915
168,NV0 0,NV0 2,35.618339630054315,237.763111923139,2.1646409299629988e-05,197.15414727314257,1.0,595.4957176343156,0.48999999999999994
169,NV0 0,UT0 0,4.069135566010913,34.17812175015749,0.00020417863736681268,2887.2612968489366,1.0,648.9700019187432,7.175897920604914
170,NV0 1,NV0 2,2.0242605829302383,23.796307193776613,0.00011878958987093685,7561.406515119653,1.0,394.34466767707397,18.792854442344044
171,NV0 1,OR0 1,19.816907483236555,111.1039774477223,0.00010186385498678826,394.30829454628514,1.0,773.932963458667,0.9799999999999999
172,NV0 2,UT0 0,5.460294778570517,38.31418206629071,4.774885203750062e-05,1299.6079503923481,1.0,423.26942283231796,3.2299999999999995
173,OR0 0,OR0 2,1.9540086589622927,13.455786938965922,0.00010171404187569246,1629.5393805229132,1.0,304.3572423452831,4.05
174,OR0 0,OR0 3,0.4269444067930226,3.1235886626686407,0.0002684598670695969,7275.734179274896,1.0,231.066880231639,18.082854442344047
175,OR0 0,US0 0,3.7782960601277833,26.76470405259503,0.0001530924589137615,1629.5393805229137,1.0,589.2646634193127,4.05
176,OR0 0,WA0 3,0.17360269599259592,1.3410068670739972,0.00015823792976467655,11729.808486037524,1.0,101.14474037994742,29.152854442344044
177,OR0 0,WA0 4,2.121074373787885,41.94980880681739,3.3252635559439834e-05,5356.498908881242,1.0,301.5720334428112,13.312854442344046
178,OR0 1,OR0 3,8.425549671326637,46.0721217483191,2.1907685489471364e-05,289.69588987074013,1.0,262.5562586145393,0.72
179,OR0 1,WA0 0,0.7970485007299887,6.9252671437335485,0.000107602039834815,6841.190344468784,1.0,214.47473018753647,17.002854442344045
180,OR0 2,OR0 3,0.7376427434480831,16.65442368336391,0.00011179106486249228,18094.492902011454,1.0,378.19649494358157,44.97141776937618
181,OR0 2,US0 0,2.4414067165138174,21.701393035678382,0.0,1194.9955457168032,0.9999999999999999,304.6810424336553,2.9699999999999998
