Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Solar Thermal,Low,66,64,62,59,57,55,53,50,48,46,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43
Solar Thermal,Mid,66,65,64,63,62,61,60,59,58,58,57,57,57,57,57,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Solar Thermal,High,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
Solar PV,Low,23,21,20,19,18,17,16,16,15,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11
Solar PV,Mid,23,21,20,19,19,18,18,17,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,13
Solar PV,High,23,21,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,18,18,18,18,17,17,17,17,16,16,16,16,15,15
Res Solar PV,Low,29,29,27,25,23,21,19,17,15,13,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9
Res Solar PV,Mid,29,29,27,25,24,22,20,18,17,15,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11
Res Solar PV,High,29,29,29,28,28,27,27,27,26,26,25,25,24,24,23,22,22,21,21,20,19,19,18,18,17,16,16,15,14,14,13
Wind,Low,43,42,41,40,40,39,38,37,36,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24
Wind,Mid,43,43,42,42,41,41,41,40,40,39,39,39,38,38,38,37,37,37,37,36,36,36,35,35,35,35,34,34,34,33,33
Wind,High,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41
OffshoreWind,Low,130,112,102,94,89,84,80,76,73,71,68,66,64,62,60,59,57,56,54,53,52,50,49,48,47,46,45,44,43,42,42
OffshoreWind,Mid,130,112,102,94,89,84,80,76,73,71,68,66,64,62,60,59,57,56,54,53,52,50,49,48,47,46,45,44,43,42,42
OffshoreWind,High,130,112,102,94,89,84,80,76,73,71,68,66,64,62,60,59,57,56,54,53,52,50,49,48,47,46,45,44,43,42,42
Biopower,Low,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Biopower,Mid,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Biopower,High,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Natural Gas CC,Low,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Natural Gas CC,Mid,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Natural Gas CC,High,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Natural Gas CT,Low,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Natural Gas CT,Mid,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Natural Gas CT,High,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Natural Gas CC-CCS,Low,67,63,59,59,59,59,59,58,58,57,57,57,56,56,55,55,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Natural Gas CC-CCS,Mid,67,65,63,63,63,63,63,62,62,62,62,62,61,61,61,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Natural Gas CC-CCS,High,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
Geothermal,Low,141,140,139,138,137,136,135,134,133,132,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
Geothermal,Mid,141,140,139,138,138,137,136,135,134,133,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
Geothermal,High,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
Hydropower,Low,119,119,119,119,119,119,119,119,119,119,113,113,113,113,113,113,113,113,113,113,103,103,103,103,103,103,103,103,103,103,103
Hydropower,Mid,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,114,114,114,114,114,114,114,114,114,114,114
Hydropower,High,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
Net-zero CH4,Low,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Net-zero CH4,Mid,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Net-zero CH4,High,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Biomethane,Low,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Biomethane,Mid,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Biomethane,High,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Long-duration storage,Low,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Long-duration storage,Mid,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Long-duration storage,High,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Underground gas storage,Low,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Underground gas storage,Mid,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Underground gas storage,High,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
GasFiredWH,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPumpWH,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFurnace_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasRange_Res,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecInduction_Res,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasRange_Comm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecInduction_Comm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFurnace_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFiredWHComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPumpWHComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
