1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
110,739,3116,2152,363,3898,2069,2423,4651,2127,790,4029,3413,1613,269,678,0,0,0,0,0,0
114,720,3077,2157,365,3914,2071,2432,4722,2151,784,4004,3396,1642,274,681,0,0,0,0,0,0
113,710,3055,2122,362,3934,2069,2478,4912,2185,774,3986,3386,1677,281,675,0,0,0,0,0,0
115,717,3048,2129,359,4023,2072,2573,5151,2216,762,3970,3390,1693,285,680,0,0,0,0,0,0
109,673,3004,2103,363,4090,2036,2641,5366,2207,729,3907,3371,1703,290,677,0,0,0,0,0,0
104,663,3004,2142,370,4117,2039,2677,5447,2245,733,3898,3350,1723,300,677,0,0,0,0,0,0
110,695,3028,2158,375,4150,2082,2723,5479,2274,745,3940,3384,1740,305,683,0,0,0,0,0,0
123,739,3189,2207,368,4199,2136,2723,5396,2284,805,4084,3447,1729,292,687,0,0,0,0,0,0
128,792,3399,2283,389,4351,2266,2825,5518,2437,848,4283,3569,1786,315,701,0,0,0,0,0,0
142,842,3587,2353,410,4448,2349,2924,5605,2518,897,4430,3641,1806,324,718,0,0,0,0,0,0
141,856,3680,2375,416,4452,2356,2924,5614,2522,915,4499,3645,1781,319,724,0,0,0,0,0,0
134,824,3566,2325,416,4319,2305,2807,5373,2413,897,4380,3583,1747,304,701,0,0,0,0,0,0
121,749,3263,2216,377,4054,2149,2574,4915,2174,811,4138,3475,1652,276,686,0,0,0,0,0,0
104,666,2944,2071,344,3759,1987,2290,4394,1885,715,3828,3299,1537,232,652,0,0,0,0,0,0
89,574,2697,1963,318,3498,1860,2083,3994,1683,649,3608,3160,1455,203,626,0,0,0,0,0,0
86,554,2603,1927,310,3427,1813,2013,3871,1602,639,3517,3118,1434,193,621,0,0,0,0,0,0
85,546,2580,1906,305,3408,1800,2002,3818,1585,629,3493,3106,1429,191,620,0,0,0,0,0,0
84,544,2571,1906,304,3408,1798,2002,3811,1581,637,3495,3092,1427,191,621,0,0,0,0,0,0
85,556,2578,1911,306,3418,1795,2014,3811,1586,638,3501,3090,1426,193,621,0,0,0,0,0,0
87,563,2612,1927,311,3447,1827,2038,3846,1629,649,3534,3105,1435,197,624,0,0,0,0,0,0
91,587,2687,1957,322,3511,1855,2105,3978,1691,672,3613,3145,1461,210,634,0,0,0,0,0,0
98,657,2877,2041,348,3715,1966,2263,4248,1853,720,3792,3257,1519,230,648,0,0,0,0,0,0
104,707,3029,2102,359,3814,2026,2335,4418,1968,755,3935,3342,1560,246,665,0,0,0,0,0,0
