Node In,Node Out,Max Power Flow [MW],Rated Power Flow [MW],Reactance [p.u.],Existing Units [no.],Max New Units [no.],Length [m],ActualMW
30,40,9665.725271,9665.725271,0.466,1,0,82098.12122,0
30,US0,9270.268476,9270.268476,0.466,1,0,510179.4154,0
40,50,6660.130413,6660.130413,0.466,1,0,332613.4692,0
40,61,905.2996558,905.2996558,0.466,1,0,488838.1977,0
40,US0,579.3917797,579.3917797,0.466,1,0,571742.3346,0
50,61,1629.539381,1629.539381,0.466,1,0,171093.2224,0
50,US0,1484.691436,1484.691436,0.466,1,0,879261.5382,0
60,61,4740.895143,4740.895143,0.466,1,0,131146.1108,0
60,70,905.2996558,905.2996558,0.466,1,0,172245.8012,0
60,80,5938.765742,5938.765742,0.466,1,0,21591.83195,0
60,81,6083.613687,6083.613687,0.466,1,0,40273.7531,0
60,90,289.6958899,289.6958899,0.466,1,0,90813.1498,0
60,92,434.5438348,434.5438348,0.466,1,0,51327.94045,0
60,US0,4128.166431,4128.166431,0.466,1,0,1094949.618,0
61,90,2498.62705,2498.62705,0.466,1,0,58956.42222,0
61,92,4451.199253,4451.199253,0.466,1,0,100240.5085,0
61,US0,1629.539381,1629.539381,0.466,1,0,1003106.946,0
70,81,144.8479449,144.8479449,0.466,1,0,146818.0349,0
70,US0,3367.71472,3367.71472,0.466,1,0,1254651.409,0
80,81,1194.995546,1194.995546,0.466,1,0,51243.86957,0
80,91,4779.982183,4779.982183,0.466,1,0,33022.79068,0
80,92,5540.433894,5540.433894,0.466,1,0,29774.78149,0
81,91,3874.682527,3874.682527,0.466,1,0,41939.09519,0
90,92,5069.678073,5069.678073,0.466,1,0,46455.10203,0
90,US0,144.8479449,144.8479449,0.466,1,0,1010285.3,0
91,92,5685.281839,5685.281839,0.466,1,0,41055.3469,0
